no_emissor_padronizado,no_emissor_fitch,no_emissor_moodys,no_emissor_standard_and_poors,no_emissor_austin,no_emissor_liberum,cnpj_emissor
JC BG FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,JC BG Fundo de Investimento em Direitos Creditórios Não-Padronizados – FIDC NP,17911226000147
JC CREDITO PREMIO I FIDC NP,,,,,JC Crédito Premio I FIDC NP,
JC CREDITOS JUDICIAIS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,JC Créditos Judiciais Fundo de Investimento em Direitos Creditórios Não-Padronizados,34964344000132
JC DIVERSIFICADO III FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,JC Diversificado III Fundo de Investimento em Direitos Creditórios Não-Padronizado,29109350000172
JC DIVERSIFICADO III FUNDO INVESTIMENTO DIREITOSS CREDITORIOS NAO,,,,,JC Diversificado III Fundo de Investimento em DireitosS Creditorios Não-Padronizado,
JC DIVERSIFICADO VI FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,JC Diversificado VI Fundo de Investimento em Direitos Creditorios Não-Padronizado,29469886000107
JC SILOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,JC SILOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADO,23216640000139
JG PRUDENTIA FIDC NP,,,,JG PRUDENTIA FIDC NP - SUBORDINADAS MEZANINO I,,
JGM LP FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,JGM LP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,14718674000130
JGP CANVAS DISTRESSED FIDC NP,,,,JGP CANVAS DISTRESSED FIDC NP - ÚNICA,,
JGP CREDITO FEEDER 1 FIC FIDC NP MULTICARTEIRA,,,,JGP CRÉDITO FEEDER 1 FIC FIDC NP MULTICARTEIRA - ÚNICA,,
JGP DISTRESSED FIC FIDC NP MULTICARTEIRA,,,,JGP DISTRESSED FIC FIDC NP MULTICARTEIRA - ÚNICA,,
JGP ESTRUTURADOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,JGP ESTRUTURADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – RESPONSABILIDADE LIMITADA,41075407000165
JGP ESTRUTURADOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,JGP ESTRUTURADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,41075407000165
JGP ESTRUTURADOS III FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,JGP ESTRUTURADOS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,50198834000121
JGP STRESSED FIC FIDC NP MULTICARTEIRA,,,,JGP STRESSED FIC FIDC NP MULTICARTEIRA - ÚNICA,,
JIVEMAUA BOSSANOVA 90 FIDC,,,,JIVEMAUÁ BOSSANOVA 90 FIDC - ÚNICA,,
JOB FIDC,,,,JOB FIDC - SUBORDINADAS,,
JP CAPITAL FIDC,,,,JP CAPITAL FIDC - SUBORDINADAS MEZANINO,,
JP CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,JP CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,40753151000135
JPI FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,JPI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,27217664000163
JSL,JSL S.A.,JSL S.A.,JSL S.A.,,,52548435000179
JUNTO RESSEGUROS,,,Junto Resseguros S.A.,,,09594758000170
JUNTO SEGUROS,,,Junto Seguros S.A.,,,84948157000133
JUNTOS CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,JUNTOS CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,29242916000130
JUSINVEST I FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,JUSINVEST I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,38328747000146
K,,K-Fundo de Investimento em Direitos Creditórios,,,,09414761000164
K2 FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,K2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
KALLAS INCORPORACOES CONSTRUCOES,,,Kallas Incorporacoes e Construcoes S.A.,,,09146451000106
KANASTRA SECURITIZADORA,,Kanastra Securitizadora - 3ª Emissão de CRIs,,,,48238484000138
KANASTRA SECURITIZADORA 2024,"Kanastra Securitizadora 2024-1-1,2,3,4,5 (Solfacil)",,,,,
KARDBANK CONSIGNADO FIDC,,,,KARDBANK CONSIGNADO FIDC - SUBORDINADAS JÚNIOR,,
KARDINAL CREDITO IMOBILIARIO FIDC,,,,KARDINAL CRÉDITO IMOBILIÁRIO FIDC  - ÚNICA,,
KEYCASH HOME EQUITY FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,KEYCASH HOME EQUITY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,40995902000120
KINEA INVESTIMENTOS,,,,KINEA INVESTIMENTOS LTDA.,,08604187000144
KINEA VERTICE FIDC ABERTO,,,,KINEA VÉRTICE FIDC ABERTO - ÚNICA,,
KLABIN,Klabin S.A.,Klabin S.A.,Klabin S.A.,,,89637490000145
KOBOLD H FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,KOBOLD H FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,10756703000106
KOBOLD MFS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,KOBOLD MFS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,
KOBOLD MFS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,KOBOLD MFS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,
KORA SAUDE PARTICIPACOES,Kora Saude Participacoes S.A.,Kora Saude Participacoes S.A.,,,,13270520000166
KP DRACMA FIDC NP,,,,KP DRACMA FIDC NP - SUBORDINADAS JÚNIOR,,
KP GUARDIAN FUNDO INVESTIMENTO COTAS FUNDOS INVESTIMENTO DIREITOS CREDITORIOS,,,,,KP GUARDIAN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
KP GUARDIAN FUNDO INVESTIMENTO COTAS FUNDOS INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,KP GUARDIAN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,
KREDITARE FIDC,,,,KREDITARE FIDC - MEZANINO CLASSE A,,
KUARA SPECIAL SITUATIONS I FIDC NP,,,,KUARÁ SPECIAL SITUATIONS I FIDC NP - ÚNICA,,
KYKLOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,Kyklos Fundo de Investimento em Direitos Creditórios,,,,32400342000195
L ARCA CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,L ARCA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
L'ARCA CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,L'ARCA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
L'ARCA CONSIGNADO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,L'ARCA CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
LABORATORIO SABIN ANALISES CLINICAS,Laboratorio Sabin de Analises Clinicas S.A.,,,,,00718528000109
LAGOA 1 ENERGIA RENOVAVEL,,,Lagoa 1 Energia Renovável S.A.,,,21540697000163
LAJEADO ENERGIA,,Lajeado Energia S.A.,,,,03460864000184
LANA FIDC,,,,LANA FIDC - SUBORDINADAS JÚNIOR,,
LAR COOPERATIVA AGROINDUSTRIAL,Lar Cooperativa Agroindustrial,,,,,
LARCA AURORA FUNDO INVESTIMENTO DIREITOS CREDITORIOS CONSIGNADO RESPONSABILIDADE LIMITADA,,Larca Aurora Fundo de Investimento em Direitos Creditórios Consignado de Responsabilidade Limitada,,,,63168433000170
LARCA CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,LARCA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,41114564000132
LARCA CONSIGNADO FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,LARCA CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,51326028000154
LARCA CONSIGNADO II FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,LARCA CONSIGNADO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,54634742000106
LARCA CONSIGNADO II FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,LARCA CONSIGNADO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,54634742000106
LARCA CONSIGNADO III FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,LARCA CONSIGNADO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,59602002000101
LARCA MULTIPLICA CAPITAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,LARCA MULTIPLICA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
LATACHE AGRO II FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,LATACHE AGRO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,50831355000109
LATICINIOS BELA VISTA,,,Laticinios Bela Vista S.A.,,,02089969000106
LAVVI EMPREENDIMENTOS IMOBILIARIOS,,Lavvi Empreendimentos Imobiliários S.A.,,,,26462693000128
LB FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,LB FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,42627753000171
LCBANK FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,LCBANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,52343885000125
LD CELULOSE,LD Celulose S.A.,,,,,
LEADS CIA SECURITIZADORA,,,,LEADS CIA SECURITIZADORA - RISCO TERRAS EMPREENDIMENTOS  (1ª SÉRIE - 1ª EMISSÃO),,
LEADS SECURITIZADORA,,,,LEADS SECURITIZADORA - RISCO TERRAS EMPREENDIMENTOS - (1ª EMISSÃO - 1ª SÉRIE),,
LEBLON EQUITIES GESTAO RECURSOS,,Leblon Equities Gestão de Recursos Ltda.,,,,10240925000163
LECCA FIDC,,,,LECCA FIDC - SENIORES 1ª SÉRIE,,
LECCA FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,LECCA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
LESTE ARBITRAGEM I FIDC NP,,,,LESTE ARBITRAGEM I FIDC NP - ÚNICA,,
LESTE CREDIT PRECATORIOS I,,,,LESTE  CREDIT PRECATÓRIOS I - FIDC NP - SENIORES 1ª SÉRIE,,41755724000122
LESTE CREDIT PRECATORIOS II,,,,LESTE CREDIT PRECATÓRIOS II - SUBORDINADAS,,45145657000185
LESTE CREDIT PRECATORIOS III,,,,LESTE CREDIT PRECATÓRIOS III - FIDC NP - SENIORES ÚNICA,,
LESTE LLF CID FIDC NP I,,,,LESTE LLF CID FIDC NP I  - SENIORES ÚNICA,,
LET'S RENT CAR,Let's Rent a Car S.A.,,,,,00873894000124
LETO ASSET MANAGEMENT,,Leto Asset Management Ltda,,,,13189882000127
LEVE FIDC,,,,LEVE FIDC - SUBORDINADAS MEZANINO III,,
LEVER FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,LEVER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,46390212000123
LGX FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,LGX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS – RESPONSABILIDADE LIMITADA,34218918000123
LGX FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,LGX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,34218918000123
LIBRA FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,LIBRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,12400421000199
LIBRA II FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,LIBRA II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,18563847000140
LIBRA II NP FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISSETORIAL,,,,,LIBRA II NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL,18563847000140
LIGGA TELECOMUNICACOES,,Ligga Telecomunicações S.A.,Ligga Telecomunicacoes S.A.,,,04368865000166
LIGHT,Light S.A.,,,,,03378521000175
LIGHT ENERGIA,Light Energia S.A.,,,,,01917818000136
LIGHT SERVICOS ELETRICIDADE,Light Servicos de Eletricidade S.A.,,Light Servicos de Eletricidade S.A.,,,60444437000146
LIMAJ FIDC,,,,LIMAJ FIDC - SENIORES ÚNICA,,
LINHAS TAUBATE TRANSMISSORA ENERGIA,Linhas de Taubate Transmissora de Energia S.A.,,,,,
LINHAS XINGU TRANSMISSORA ENERGIA,Linhas de Xingu Transmissora de Energia S.A.,,,,,
LINK BANK FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISSETORIAL,,,,,LINK BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISSETORIAL,29970181000160
LINS AGROINDUSTRIAL,,,Lins Agroindustrial S.A.,,,35637796000172
LITUS FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISEGMENTOS,,,,,LITUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,22101473000118
LITUS FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,LITUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,
LIVETECH BAHIA INDUSTRIA COMERCIO,,Livetech da Bahia Indústria e Comércio S.A.,,,,05917486000140
LIVRE FIDC,,,,LIVRE FIDC - SENIORES 3ª SÉRIE,,
LM TRANSPORTES INTERESTADUAIS SERVICOS COMERCIO,,LM Transportes Interestaduais Serviços e Comércio S.A.,LM Transportes Interestaduais Servicos e Comercio S.A.,,,00389481000179
LOCALIZA FLEET,Localiza Fleet S.A.,Localiza Fleet S.A.,,,,02286479000108
LOCALIZA RENT CAR,Localiza Rent a Car S.A.,Localiza Rent a Car S.A.,Localiza Rent a Car S.A.,,,16670085000155
LOG COMMERCIAL PROPERTIES PARTICIPACOES,,,LOG Commercial Properties e Participacoes S.A.,,,09041168000110
LOGISTICA AMBIENTAL SAO PAULO,,,Logistica Ambiental de Sao Paulo S.A. - LOGA,,,07032886000102
LOJAS RENNER,,,Lojas Renner S.A.,,,92754738000162
LONG SHOT FUNDO INVESTIMENTO COTAS FIDC,,,,,LONG SHOT FUNDO DE INVESTIMENTO EM COTAS DE FIDC,
LOTUS PERFORMANCE FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL LP,,,,,Lotus Performance Fundo de Investimento em Direitos Creditórios Multissetorial LP,44409311000184
LS INTERBANK FIDC,,,,LS INTERBANK FIDC - MEZANINO CLASSE A,,
LUMINAE FIDC,,,,LUMINAE FIDC  - SUBORDINADAS MEZANINO,,
LUMY FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,LUMY FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADO RESPONSABILIDADE LIMITADA,
LUSITANO FIDC,,,,LUSITANO FIDC - SUBORDINADAS JÚNIOR,,
LYSAN FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,LYSAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,41579682000116
L\'ARCA CONSIGNADO FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,L\'ARCA CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
M DIAS BRANCO INDUSTRIA COMERCIO ALIMENTOS,M Dias Branco S.A. Industria e Comercio de Alimentos,,,,,07206816000115
M SUL FUNDO INVESTIMENTOS DIREITOS CREDITORIOS,,,,,M Sul Fundo de Investimentos em Direitos Creditórios,
MACCA CONSIGNADO PUBLICO FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,MACCA CONSIGNADO PUBLICO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,
MACCA FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,MACCA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,57090601000150
MACCABI FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,MACCABI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,35654828000148
MADERO INDUSTRIA COMERCIO,,,Madero Industria E Comercio S.A.,,,13783221000478
MAGALUPAY,"MagaluPay - Sociedade de Credito, Financiamento e Investimento S.A.",,,,,
MAGAZINE LUIZA,,,Magazine Luiza S.A.,,,47960950000121
MAGNUM PARTNERS,,Magnum Partners S.A.,,,,18527845000103
MAIS TODOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,Mais Todos Fundo de Investimento em Direitos Creditórios,,,,45121220000101
MAIS TODOS PF FUNDO INVESTIMENTO DIREITOS CREDITORIOS FINANCEIRO RESPONSABILIDADE LIMITADA,,,,,MAIS TODOS PF FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS FINANCEIRO RESPONSABILIDADE LIMITADA,58088190000120
MALMO FICFIDC,,,,,MALMO FICFIDC-NP,
MANAUS AMBIENTAL,,,Manaus Ambiental S.A.,,,03264927000127
MANAUS TRANSMISSORA ENERGIA,,,Manaus Transmissora de Energia S.A.,,,09584854000137
MANI FIDC,,,,MANI FIDC - SUBORDINADAS JÚNIOR,,
MANTIQUEIRA ALIMENTOS,Mantiqueira Alimentos S.A.,,,,,04747794000102
MAPFRE INVESTIMENTOS,,Mapfre Investimentos Ltda.,,,,04160039000127
MARABA FIDC NP,,,,MARABÁ FIDC NP - SUBORDINADAS MEZANINO,,
MARANHAO,"Maranhao, State of",,,,,
MARFRIG GLOBAL FOODS,Marfrig Global Foods S.A.,,Marfrig Global Foods S.A.,,,03853896000140
MARIN FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL LP,,,,,MARIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,13554539000134
MARITUBA TRANSMISSAO ENERGIA,,Marituba Transmissao de Energia S.A.,,,,31096307000161
MARLIM AZUL ENERGIA,Marlim Azul Energia SA,,,,,
MARTE FIDC,,,,MARTE FIDC  - SENIORES 1ª SÉRIE,,
MARTINS COMERCIO SERVICO DISTRIBUICAO,,,Martins Comercio e Servico de Distribuicao S.A.,,,43.214.055/0001-07
MATA SANTA GENEBRA TRANSMISSAO,Mata de Santa Genebra Transmissao S.A.,Mata de Santa Genebra Transmissão S.A.,,,,19699063000106
MATEUS SUPERMERCADOS,Mateus Supermercados S.A.,,,,,03995515001309
MATRINCHA TRANSMISSORA ENERGIA,Matrincha Transmissora de Energia (TP Norte) S.A.,,,,,
MATRIZ FIC FIDC,,,,MATRIZ FIC FIDC - SUBORDINADAS JÚNIOR,,
MATRIZ FUNDO INVESTIMENTO COTAS FUNDOS INVESTIMENTO DIREITOS CREDITORIOS,,,,,MATRIZ FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,
MATRIZ FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,MATRIZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,
MAV ALTERNATIVE CREDIT FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,Mav Alternative Credit Fundo de Investimento em Direitos Creditórios Não-Padronizados,50123492000180
MB GENESIS FIDC,,,,MB GÊNESIS FIDC - SUBORDINADAS JÚNIOR,,
MBM FIDC NP,,,,MBM FIDC NP - SUBORDINADAS JÚNIOR,,
MC BRAZIL DOWNSTREAM TRADING R.L.,MC Brazil Downstream Trading S.a.r.l.,,,,,
MEDSYSTEMS B24 FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO RECEBIVEIS COMERCIAIS RESPONSABILIDADE LIMITADA,,,Medsystems B24 Fundo de Investimento em Direitos Creditorios Segmento Recebiveis Comerciais de Responsabilidade Limitada,,,58.376.702/0001-54
MEINBERG FIDC,,,,MEINBERG FIDC - SENIORES 7ª SÉRIE,,
MELNICK DESENVOLVIMENTO IMOBILIARIO,,Melnick Desenvolvimento Imobiliário S.A.,,,,12181987000177
MENTORE FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,MENTORE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,46082763000120
MERCADO CREDITO SOCIEDADE CREDITO,"Mercado Credito Sociedade de Credito, Financiamento e Investimento S.A.",,,,,
MERCADO PAGO INSTITUICAO PAGAMENTO,Mercado Pago Instituicao de Pagamento Ltda.,,,,,
MERCADOLIVRE. ATIVIDADES INTERNET,MercadoLivre.com Atividades de Internet Ltda.,,,,,
MERCANTIL CREDITO FIDC MULTI OPEN I,,,,MERCANTIL DE CRÉDITO FIDC MULTI OPEN I - SENIORES ÚNICA,,
MERCANTIL PRODUTOS ACO FIDC,,,,MERCANTIL PRODUTOS DE AÇO FIDC  - SENIORES ÚNICA,,
METRO BH,,Metrô BH S.A.,,,,46574475000192
METROPOLITANA ATIVOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,METROPOLITANA ATIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL,18114024000137
METROPOLITANA ATIVOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL LP,,,,,METROPOLITANA ATIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18114024000137
METROPOLITANA CONSIGNADO PRIVADO FIDC,,,,METROPOLITANA CONSIGNADO PRIVADO FIDC - SENIORES 1ª SÉRIE,,
MEZ 3 ENERGIA,MEZ 3 Energia S.A.,,,,,
MEZ 4 ENERGIA,MEZ 4 Energia S.A.,,,,,
MEZ 5 ENERGIA,Mez 5 Energia S.A.,,,,,
MEZ 6 ENERGIA,,Mez 6 Energia S.A.,,,,
MGW ATIVOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO,,,,,MGW ATIVOS FUNDO DE INVESTIMENTO DIREITOS CREDITORIOS NAO-PADRONIZADOS,24252610000140
MGW ATIVOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,,,,MGW ATIVOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,24252610000140
MICROCREDITO IMPACTO SOCIAL FIDC,,,,BRASIL MICROCRÉDITO DE IMPACTO SOCIAL FIDC - SENIORES ÚNICA,,
MILAS FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS RESPONSABILIDADE LIMITADA,,,,,MILAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS RESPONSABILIDADE LIMITADA,26286853000125
MILAS FUNDO INVESTIMENTOS DIREITOS CREDITORIOS,,,,,Milas Fundo de Investimentos em Direitos Creditórios - Não Padronizado,
MILLS LOCACAO SERVICOS LOGISTICA,,,Mills Locacao Servicos e Logistica S.A.,,,27093558000115
MINAS GERAIS,,,Minas Gerais (State of),,,00058113000148
MINERVA,Minerva S.A.,,Minerva S.A.,,,67620377000114
MINERVA FIDC II,Minerva FIDC II - Credito Mercantil Responsabilidade Limitada,,,,,
MINHA CASA MINHA VIDA FUNDO INVESTIMENTO DIREITOS CREDITORIOS NP RESPONSABILIDADE LIMITADA,,,,,MINHA CASA MINHA VIDA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP RESPONSABILIDADE LIMITADA,61995402000168
MINUM GENCO GERADORA,,Minum Genco Geradora S.A.,,,,53043876000181
MIRANTE ENERGETICA,Mirante Energetica S.A.,,,,,
MITTU FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,MITTU FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,31570850000159
MITTU FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,MITTU FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,31570850000159
MLC 1A,,,,,MLC 1A - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,
MLC 1A FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS,,,,,MLC 1A FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS,
MLC1 FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,MLC1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,
MNLT,,,MNLT S.A.,,,12592831000189
MOBIUS LEGAL CLAIMS 1,,,,,MÖBIUS LEGAL CLAIMS 1 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,
MOBIUS TOTAL RETURN 1,,,,,MOBIUS TOTAL RETURN 1 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,46729344000137
MOBIUS VD TOTAL RETURN 1,,,,,MOBIUS VD TOTAL RETURN 1 - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,47410122000110
MOKA FUND I FIDC MULTISSETORIAL,,,,MOKA FUND I FIDC MULTISSETORIAL - SENIORES ÚNICA,,
MOKA FUND I FUNDO INVESTIMENTO DIREITOS CREDITORIOS,,,,,MOKA FUND I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,12400426000111
MOKA FUND I FUNDO INVESTIMENTO DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISSETORIAL,,,,,Moka Fund I Fundo de Investimento em Direitos Creditórios Não Padronizados Multissetorial,12400426000111
MONEE II FUNDO INVESTIMENTO DIREITOS CREDITORIOS SEGMENTO FINANCEIRO,,Monee II Fundo de Investimento em Direitos Creditórios Segmento Financeiro – Responsabilidade limitada,,,,58152340000118
MONEFY FUNDO INVESTIMENTO DIREITOS CREDITORIOS MULTISSETORIAL,,,,,MONEFY FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,25354121000162
MONGERAL AEGON INVESTIMENTOS,,Mongeral Aegon Investimentos Ltda.,,,,16500294000150
