emissor,cnpj,razao_rfb,razao_cvm,status,obs
RBR PRIVATE EQUITY GESTAO RECURSOS,40147051000165,RBR PRIVATE EQUITY GESTAO DE RECURSOS LTDA,,✅,match exato (RFB)
MEZ 5 ENERGIA,40215231000137,MEZ 5 ENERGIA S.A.,,✅,match exato (RFB)
BANCO C6 TRAVESSIA,40.226.186/0001-16,TRAVESSIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,,⚠️,match parcial (substring leniente) (RFB)
SOLVI ESSENCIS AMBIENTAL,40263170000183,SOLVI ESSENCIS AMBIENTAL S.A.,,✅,match exato (RFB)
CLARO,40432544079738,CLARO S.A.,,✅,match exato (RFB)
CIRANDA I HOLDING,40689707000171,CIRANDA I HOLDING S.A.,,✅,match exato (RFB)
VIA MT 246 CONCESSIONARIA RODOVIAS,40952394000100,VIA BRASIL MT 246 CONCESSIONARIA DE RODOVIAS S.A.,,✅,match exato (RFB)
COMPANHIA PERNAMBUCANA GAS,41025313000181,COMPANHIA PERNAMBUCANA DE GAS COPERGAS,,⚠️,match parcial (substring leniente) (RFB)
SOLAR BEBIDAS,41052420000107,SOLAR BEBIDAS S.A.,,✅,match exato (RFB)
AVLA SEGUROS,41182665000140,AVLA SEGUROS BRASIL S.A.,,✅,match exato (RFB)
SYNGENTA TECH I FIDC,41196339000192,SYNGENTA TECH I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE ILIMITADA,,⚠️,match parcial (substring leniente) (RFB)
MOVILEPAY CREDITO I FUNDO INVESTIMENTO DIREITOS CREDITORIOS,41197066000109,IFOOD PAGO CREDITO I FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS FINANCEIRO DE RESP LIMITADA,,⚠️,match parcial (5/6 palavras) (RFB)
CONCESSIONARIA RODOVIAS ROTA GRAOS,41315638000107,CONCESSIONARIA DE RODOVIAS ROTA DOS GRAOS S/A,,✅,match exato (RFB)
RODOVIAS HOLDING,41508382000146,RODOVIAS DO BRASIL HOLDING S.A.,,✅,match exato (RFB)
DB3 SERVICOS TELECOMUNICACOES,41644220000135,DB3 SERVICOS DE TELECOMUNICACOES S.A,,✅,match exato (RFB)
GBS PARTICIPACOES,41774224000138,GBS PARTICIPACOES S.A.,,✅,match exato (RFB)
REFINARIA MATARIPE,41777706000141,REFINARIA DE MATARIPE S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA INCLUSAO FINANCEIRA,41778453000120,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DE RESPONSABILIDADE LIMITADA INCLUSAO FINANCEIRA,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS TAMANDARE,41820271000170,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS TAMANDARE,,✅,match exato (RFB)
VELEIROS HOLDINGS,41825390000116,VELEIROS HOLDINGS S.A.,,✅,match exato (RFB)
CAIXA DISTRIBUIDORA TITULOS VALORES MOBILIARIOS,42040639000140,CAIXA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,,✅,match exato (RFB)
CONCESSIONARIA BLOCO SUL,42130537000116,CONCESSIONARIA DO BLOCO SUL S.A.,,✅,match exato (RFB)
BRASKEM,42150391000170,BRASKEM S.A,,✅,match exato (RFB)
MULTIPLIKE PLUS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,42154687000160,MULTIPLIKE PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,,✅,match exato (RFB)
POTENGI HOLDINGS,42165941000125,POTENGI HOLDINGS S.A.,,✅,match exato (RFB)
CONCESSIONARIA BLOCO CENTRAL,42206269000500,CONCESSIONARIA DO BLOCO CENTRAL S.A.,,✅,match exato (RFB)
HSI GESTORA SPECIAL OPPORTUNITIES,42237691000191,HSI GESTORA DE CREDITO PRIVADO LTDA,,⚠️,match parcial (1/2 palavras) (RFB)
HSI GESTORA ATIVOS FINANCEIROS,42238039000191,HSI GESTORA DE ATIVOS FINANCEIROS LTDA.,,✅,match exato (RFB)
VLI MULTIMODAL,42276907000128,VLI MULTIMODAL S.A.,,✅,match exato (RFB)
CONCESSIONARIA LINHAS 8 9 SISTEMA TRENS METROPOLITANOS SAO PAULO,42288184000187,CONCESSIONARIA DAS LINHAS 8 E 9 DO SISTEMA DE TRENS METROPOLITANOS DE SAO PAULO S.A.,,✅,match exato (RFB)
RIO+ SANEAMENTO BL3,42292007000174,RIO+ SANEAMENTO BL3 S.A,,✅,match exato (RFB)
AGUAS RIO 1 SPE,42310775000103,AGUAS DO RIO 1 SPE S.A,,✅,match exato (RFB)
HSI GESTORA REAL ESTATE PRIVATE EQUITY,42312440000124,HSI GESTORA DE REAL ESTATE PRIVATE EQUITY LTDA.,,✅,match exato (RFB)
IGUA RIO JANEIRO,42353180000135,IGUA RIO DE JANEIRO S.A,,✅,match exato (RFB)
SERENA DESENVOLVIMENTO,42385499000142,SERENA DESENVOLVIMENTO S.A,,✅,match exato (RFB)
NEXA RECURSOS MINERAIS,42416651000107,NEXA RECURSOS MINERAIS S.A.,,✅,match exato (RFB)
RIO JANEIRO. STATE OF,4249860000171,ESTADO DO RIO DE JANEIRO,,⚠️,match parcial (substring leniente) (RFB)
CONCESSIONARIA AEROPORTOS AMAZONIA,42548035000100,CONCESSIONARIA DOS AEROPORTOS DA AMAZONIA S/A,,✅,match exato (RFB)
RDVE SUBHOLDING,42596330000131,RDVE SUBHOLDING S.A.,,✅,match exato (RFB)
AGUAS RIO 4 SPE,42644220000106,AGUAS DO RIO 4 SPE S.A,,✅,match exato (RFB)
ALLIANCA SAUDE PARTICIPACOES,42771949000135,ALLIANCA SAUDE E PARTICIPACOES S.A.,,✅,match exato (RFB)
SICOOB CREDICOM,42898825000115,SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.,,✅,match exato (RFB)
PERFIN EQUITIES ADMINISTRACAO RECURSOS,43020918000105,PERFIN EQUITIES ADMINISTRACAO DE RECURSOS LTDA.,,✅,match exato (RFB)
DURATEX FLORESTAL,43059559000108,DURATEX FLORESTAL LTDA,,✅,match exato (RFB)
HRZ TRANSMISSAO PARTICIPACOES,43167616000164,HRZ TRANSMISSAO E PARTICIPACOES S.A,,✅,match exato (RFB)
MARTINS COMERCIO SERVICO DISTRIBUICAO,43.214.055/0001-07,MARTINS COMERCIO E SERVICOS DE DISTRIBUICAO S/A,,⚠️,match parcial (3/3 palavras) (RFB)
NOVA OCCAM GESTAO RECURSOS,43228545000162,NOVA OCCAM BRASIL GESTAO DE RECURSOS LTDA,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS VCK II CONSIGNADOS,43236160000147,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS VCK II CONSIGNADOS,,✅,match exato (RFB)
PGE,43261542000120,PGE - GUARAU GERADORA DE ENERGIA S.A.,,✅,match exato (RFB)
SUL CONCESSOES PARTICIPACOES,43277147000136,SUL CONCESSOES E PARTICIPACOES S/A,,✅,match exato (RFB)
SERRA SERIDO F2 HOLDING,43386975000102,SERRA DO SERIDO F2 HOLDING S.A.,,✅,match exato (RFB)
EVEN CONSTRUTORA INCORPORADORA,43470988000165,EVEN CONSTRUTORA E INCORPORADORA S/A,,✅,match exato (RFB)
CLI SUL,43514079000181,CLI SUL S/A,,✅,match exato (RFB)
VERT CIA SECURITIZADORA 2021,43737117000165,VERT COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS,,⚠️,match parcial (2/3 palavras) (RFB)
VERT CIA SECURITIZADORA 2022,43737117000165,VERT COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS,,⚠️,match parcial (2/3 palavras) (RFB)
VERT CIA SECURITIZADORA 2026,43737117000165,VERT COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS,,⚠️,match parcial (2/3 palavras) (RFB)
AGROLEND SOCIEDADE CREDITO,43774196000184,"AGROLEND SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.",,✅,match exato (RFB)
COMPANHIA SANEAMENTO BASICO ESTADO SAO PAULO,43776517000180,COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP,,✅,match exato (RFB)
FIDC OPEA AGRO SUMITOMO CHEMICAL,43866348000179,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS OPEA AGRO SUMITOMO CHEMICAL RESP LIMITADA,,✅,match exato (leniente) (RFB)
SPECTRA INVESTIMENTOS,44011526000142,SPECTRA INVESTIMENTOS LTDA.,,✅,match exato (RFB)
VIA BR 163 CONCESSIONARIA RODOVIAS,44067725000172,VIA BRASIL BR 163 CONCESSIONARIA DE RODOVIAS S.A.,,✅,match exato (RFB)
CONCESSIONARIA SANEAMENTO AMAPA SPE,44109598000127,CONCESSIONARIA DE SANEAMENTO DO AMAPA SPE S.A.,,✅,match exato (RFB)
FIDC CLOUDWALK PI,44124617000194,CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,,⚠️,match parcial (2/3 palavras) (RFB)
CONCESSIONARIA SISTEMA RODOVIARIO RIO,44319688000142,CONCESSIONARIA DO SISTEMA RODOVIARIO RIO - SAO PAULO S.A.,,✅,match exato (RFB)
COLOMBO AGROINDUSTRIA,44330975000153,COLOMBO AGROINDUSTRIA S.A,,✅,match exato (RFB)
COCAL COMERCIO INDUSTRIA CANAA ACUCAR ALCOOL,44373108000103,COCAL COMERCIO INDUSTRIA CANAA ACUCAR E ALCOOL SA,,✅,match exato (RFB)
NOVA MOBI PERNAMBUCO,44467456000131,NOVA MOBI PERNAMBUCO - SPE S.A.,,✅,match exato (RFB)
COOPERATIVA CREDITO PRO,44469161000102,COOPERATIVA DE CREDITO PRO,,✅,match exato (RFB)
ISAAC FUNDO INVESTIMENTO DIREITOS CREDITORIOS,44516049000177,ISAAC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DO SEGMENTO DE SERVICOS EDUCACIONAIS,,⚠️,match parcial (substring leniente) (RFB)
GDS SUBHOLDING,44601637000109,GDS SUBHOLDING S.A.,,✅,match exato (RFB)
PARSAN,44854238000150,PARSAN S.A,,✅,match exato (RFB)
VERDE AMBIENTAL ALAGOAS,44992350000157,VERDE AMBIENTAL ALAGOAS S.A.,,✅,match exato (RFB)
CAJUINA AB1 HOLDINGS,45024644000158,CAJUINA AB1 HOLDINGS S.A.,,✅,match exato (RFB)
MAIS TODOS FUNDO INVESTIMENTO DIREITOS CREDITORIOS,45121220000101,MAIS TODOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
C MODAS,45242914000105,C&A MODAS S.A.,,✅,match exato (RFB)
BEMOL CREDITO PESSOAL FUNDO INVESTIMENTO DIREITOS CREDITORIOS FINANCEIROS RESPONSABILIDADE,45445355000122,BEMOL CREDITO PESSOAL FIDC FINANCEIROS DE RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
AGUAS SERTAO,45456117000112,AGUAS DO SERTAO S/A,,✅,match exato (RFB)
VIXTRA FUNDO INVESTIMENTO DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,45523699000102,VIXTRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
OLINDINA PARTICIPACOES,45688565000141,OLINDINA PARTICIPACOES S.A.,,✅,match exato (RFB)
UNIDAS LOCADORA,45736131000170,UNIDAS LOCADORA S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS CREDITAS AUTO IX,45853976000145,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CREDITAS AUTO IX,,✅,match exato (RFB)
VINCI CREDITO INFRA INSTITUCIONAL FUNDO INCENTIVADO INVESTIMENTO INFRAESTRUTURA RENDA FIXA,45912178000147,VINCI CREDITO INFRA INSTITUCIONAL FUNDO INCENTIVADO DE IF EM INFRA RF - RESPONSABILIDADE LIMITADA,,⚠️,match parcial (6/8 palavras) (RFB)
SOROCABA REFRESCOS,45913696000185,SOROCABA REFRESCOS S.A.,,✅,match exato (RFB)
FS FORTALECE FUNDO INVESTIMENTO DIREITOS CREDITORIOS COMERCIAIS RESPONSABILIDADE LIMITADA,45953215000165,FS FORTALECE FIDC COMERCIAIS DE RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
PASTIFICIO SELMI,46025722000100,PASTIFICIO SELMI SA,,✅,match exato (RFB)
SOCIEDADE ABASTECIMENTO AGUA SANEAMENTO,46119855000137,SOCIEDADE DE ABASTECIMENTO DE AGUA E SANEAMENTO SA,,✅,match exato (RFB)
SAO PAULO,46379400000150,ESTADO DE SAO PAULO,,✅,match exato (leniente) (RFB)
AXS ENERGIA UFV GOIAS SPE,46409396000126,AXS ENERGIA UFV GOIAS SPE S.A,,✅,match exato (RFB)
QUANTUM MANTIQUEIRA PARTICIPACOES,46568486000160,MANTIQUEIRA HOLDING S.A.,,⚠️,match parcial (substring leniente) (RFB)
METRO BH,46574475000192,METRO BH S.A.,,✅,match exato (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS BULLLA CARTOES,46655552000139,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS BULLLA CARTOES RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
FUNDO INVESTIMENTO DIREITOS CREDITORIOS BULLLA CARTOES RESPONSABILIDADE LIMITADA,46655552000139,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS BULLLA CARTOES RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
FS I INDUSTRIA ETANOL,46710597000169,FS I INDUSTRIA DE ETANOL S.A,,✅,match exato (RFB)
CHEMICAL XII,46711630000175,CHEMICAL XII - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - INDUSTRIA PETROQUIMICA,,✅,match exato (RFB)
TEREOS ACUCAR ENERGIA,47080619000117,TEREOS ACUCAR E ENERGIA BRASIL S.A.,,✅,match exato (RFB)
RIZA ALLOCATION GESTORA RECURSOS,47138945000138,RIZA ALLOCATION GESTORA DE RECURSOS LTDA,,✅,match exato (RFB)
BRZ CONSIGNADOS V FUNDO INVESTIMENTO DIREITOS CREDITORIOS,47240173000140,CONSIGNADOS V FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,,⚠️,match parcial (substring leniente) (RFB)
CONSIGNADOS V FUNDO INVESTIMENTO DIREITOS CREDITORIOS,47240173000140,CONSIGNADOS V FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,,✅,match exato (RFB)
COMPANHIA BRASILEIRA DISTRIBUICAO,47508411000156,COMPANHIA BRASILEIRA DE DISTRIBUICAO,,✅,match exato (RFB)
SOL AGORA GREEN ESG FUNDO INVESTIMENTO DIREITOS CREDITORIOS,47640584000123,SOL AGORA GREEN ESG FIDC IS SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,,✅,match exato (leniente) (RFB)
CDHU,47865597000109,COMPANHIA DE DESENVOLVIMENTO HABITACIONAL E URBANO DO ESTADO DE SAO PAULO - CDHU,,⚠️,match parcial (substring leniente) (RFB)
SONORA ESTANCIA,47902283000120,SONORA ESTANCIA S/A,,✅,match exato (RFB)
MAGAZINE LUIZA,47960950000121,MAGAZINE LUIZA S/A,,✅,match exato (RFB)
CONCESSIONARIA RODOVIAS SUL MINAS SPE,48127008000140,CONCESSIONARIA RODOVIAS DO SUL DE MINAS SPE S.A.,,✅,match exato (RFB)
CONCESSIONARIA RODOVIAS TRIANGULO SPE,48127012000108,CONCESSIONARIA RODOVIAS DO TRIANGULO SPE S.A.,,✅,match exato (RFB)
KANASTRA SECURITIZADORA,48238484000138,KANASTRA SECURITIZADORA S.A.,,✅,match exato (RFB)
KANASTRA SECURITIZADORA 2024,48238484000138,KANASTRA SECURITIZADORA S.A.,,✅,match exato (sem sufixo) (RFB)
ALTHAIA INDUSTRIA FARMACEUTICA,48344725000719,ALTHAIA S.A. INDUSTRIA FARMACEUTICA,,✅,match exato (RFB)
NATURA CO LUXEMBOURG HOLDINGS R.L.,48349460000156,NATURA &CO LUXEMBOURG HOLDINGS S.A.R.L,,✅,match exato (leniente) (RFB)
GRANDE SERTAO III TRANSMISSORA ENERGIA,48400777000170,GRANDE SERTAO III TRANSMISSORA DE ENERGIA S/A.,,✅,match exato (leniente) (RFB)
PAX INVESTIMENTOS AEROPORTOS,48533969000154,PAX INVESTIMENTOS EM AEROPORTOS S.A,,✅,match exato (RFB)
